instant_hourly,dteday,season_hourly,yr_hourly,mnth_hourly,hr,holiday_hourly,weekday_hourly,workingday_hourly,weathersit_hourly,temp_hourly,atemp_hourly,hum_hourly,windspeed_hourly,casual_hourly,registered_hourly,cnt_hourly,instant_daily,season_daily,yr_daily,mnth_daily,holiday_daily,weekday_daily,workingday_daily,weathersit_daily,temp_daily,atemp_daily,hum_daily,windspeed_daily,casual_daily,registered_daily,cnt_daily
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
